SKU,Name,Length,Width,Height,Weight,URL
00152159,"IKEA 365+ VÄRDEFULLPeeler, black",18.0,6.0,2.0,0.06,https://www.ikea.com/nl/en/p/00152159/
00160866,"STORÅLoft bed frame, black,140x200 cm",226.0,46.0,9.0,82.7,https://www.ikea.com/nl/en/p/00160866/
00165213,"URBANJunior chair, white",80.0,48.0,45.0,4.02,https://www.ikea.com/nl/en/p/00165213/
00177225,"STÖDJACutlery tray, white,51x50 cm",51.0,50.0,5.0,0.48,https://www.ikea.com/nl/en/p/00177225/
00186041,"LÄMPLIGPot stand, stainless steel,18x18 cm",24.0,22.0,2.0,0.1,https://www.ikea.com/nl/en/p/00186041/
00190689,"DUKTIGGlass, multicolour",18.0,12.0,5.0,0.14,https://www.ikea.com/nl/en/p/00190689/
00205539,"METODTop cabinet with ventilation, white,60x60x60 cm",65.0,63.0,10.0,22.2,https://www.ikea.com/nl/en/p/00205539/
00208670,"TORKADKitchen roll holder, silver-colour",29.0,13.0,13.0,0.22,https://www.ikea.com/nl/en/p/00208670/
00205092,"RINGHULTDrawer front, high-gloss white,80x10 cm",89.0,20.0,2.0,2.05,https://www.ikea.com/nl/en/p/00205092/
00204672,"UTRUSTAWire basket,60 cm",56.0,56.0,12.0,2.63,https://www.ikea.com/nl/en/p/00204672/
00205501,"BODBYNDrawer front, off-white,60x40 cm",69.0,42.0,2.0,3.75,https://www.ikea.com/nl/en/p/00205501/
00205488,"BODBYNDoor, off-white,40x200 cm",209.0,41.0,2.0,12.4,https://www.ikea.com/nl/en/p/00205488/
00205087,"RINGHULTDoor, high-gloss white,60x100 cm",109.0,60.0,2.0,7.74,https://www.ikea.com/nl/en/p/00205087/
00205493,"BODBYNDrawer front, off-white,80x40 cm",89.0,42.0,2.0,4.86,https://www.ikea.com/nl/en/p/00205493/
00204653,"UTRUSTADrawer front, high, white,40 cm",37.0,22.0,2.0,0.88,https://www.ikea.com/nl/en/p/00204653/
00205662,"UTRUSTAShelf for corner wall cabinet, white,68 cm",64.0,64.0,2.0,4.45,https://www.ikea.com/nl/en/p/00205662/
00211088,"STEFANChair, brown-black",95.0,48.0,9.0,4.04,https://www.ikea.com/nl/en/p/00211088/
00208236,"VEDDINGEDoor, white,60x120 cm",130.0,62.0,2.0,9.56,https://www.ikea.com/nl/en/p/00208236/
00205426,"VEDDINGEDrawer front, white,40x40 cm",50.0,42.0,2.0,2.1,https://www.ikea.com/nl/en/p/00205426/
00205431,"VEDDINGEDoor, white,40x80 cm",90.0,42.0,2.0,4.18,https://www.ikea.com/nl/en/p/00205431/
00212554,"METODCorner wall cabinet, white,68x37x60 cm",66.0,66.0,8.0,18.1,https://www.ikea.com/nl/en/p/00212554/
00214505,KOMPLEMENTSoft closing hinge,27.0,25.0,3.0,0.3,https://www.ikea.com/nl/en/p/00214505/
00216665,"SIBBARPCustom made wall panel, high-gloss white/laminate,1 m²x1.3 cm",100.0,100.0,2.0,12.0,https://www.ikea.com/nl/en/p/00216665/
00217165,"RÄCKACurtain rod, black,70-120 cm",69.0,2.0,2.0,0.3,https://www.ikea.com/nl/en/p/00217165/
00215307,"HEKTARFloor lamp, dark grey",73.0,39.0,26.0,10.13,https://www.ikea.com/nl/en/p/00215307/
00221596,"KNUBBIGTable lamp, cherry-blossoms white,18 cm",19.0,19.0,18.0,0.68,https://www.ikea.com/nl/en/p/00221596/
00217797,"GUNDEFolding chair, black",91.0,42.0,7.0,2.21,https://www.ikea.com/nl/en/p/00217797/
00226315,"VARIERACover cap, white",16.0,8.0,1.0,0.01,https://www.ikea.com/nl/en/p/00226315/
00233429,"APTITLIGButcher's block, bamboo,45x36 cm",46.0,36.0,3.0,3.3,https://www.ikea.com/nl/en/p/00233429/
00228705,"BRIMNESDay-bed frame with 2 drawers, white,80x200 cm",206.0,59.0,9.0,83.8,https://www.ikea.com/nl/en/p/00228705/
00238865,"VARIERADrawer mat, white,150 cm",50.0,5.0,5.0,0.42,https://www.ikea.com/nl/en/p/00238865/
00236239,"LÄTTADPlace mat, seagrass/black,37 cm",0.0,38.0,38.0,0.3,https://www.ikea.com/nl/en/p/00236239/
00239233,"TUFFINGBunk bed frame, dark grey,90x200 cm",206.0,58.0,6.0,44.67,https://www.ikea.com/nl/en/p/00239233/
00241815,"DRUVFLÄDERHanging planter, water hyacinth/grey,14 cm",18.0,17.0,17.0,0.26,https://www.ikea.com/nl/en/p/00241815/
00242278,"FABRIKÖRGlass-door cabinet, dark grey,57x150 cm",118.0,48.0,10.0,30.44,https://www.ikea.com/nl/en/p/00242278/
00245880,"SKUBBStorage with 6 compartments, white,35x45x125 cm",46.0,36.0,5.0,1.37,https://www.ikea.com/nl/en/p/00245880/
00245842,"BESTÅFrame, white,60x40x192 cm",196.0,41.0,8.0,18.01,https://www.ikea.com/nl/en/p/00245842/
00245917,"BESTÅFrame, white,60x20x38 cm",69.0,42.0,6.0,6.03,https://www.ikea.com/nl/en/p/00245917/
00246356,"KOMPLEMENTPull-out tray, white stained oak effect,50x58 cm",61.0,55.0,5.0,4.0,https://www.ikea.com/nl/en/p/00246356/
00251135,"LINNMONTable top, white,100x60 cm",100.0,60.0,3.0,4.6,https://www.ikea.com/nl/en/p/00251135/
00256944,"KOMPLEMENTClothes rail, dark grey,75 cm",74.0,6.0,4.0,0.4,https://www.ikea.com/nl/en/p/00256944/
00248567,"SUNDVIKCot, white,60x120 cm",124.0,71.0,13.0,21.9,https://www.ikea.com/nl/en/p/00248567/
00247370,"BESTÅFrame, white stained oak effect,60x40x192 cm",196.0,41.0,8.0,18.01,https://www.ikea.com/nl/en/p/00247370/
00246714,"KOMPLEMENTDrawer with glass front, white stained oak effect,100x58 cm",100.0,57.0,6.0,9.29,https://www.ikea.com/nl/en/p/00246714/
00250249,"VITTSJÖLaptop stand, black-brown/glass,35x65 cm",58.0,37.0,10.0,4.99,https://www.ikea.com/nl/en/p/00250249/
00253399,"FÖRBÄTTRACover strip and fittings, stainless steel colour,59.7x2.2 cm",74.0,6.0,2.0,0.07,https://www.ikea.com/nl/en/p/00253399/
00246417,"KOMPLEMENTDivider for frames, white,100x58 cm",100.0,58.0,8.0,17.18,https://www.ikea.com/nl/en/p/00246417/
00249487,"MALMBed frame, high, white,90x200 cm",205.0,78.0,9.0,30.7,https://www.ikea.com/nl/en/p/00249487/
00257255,"KOMPLEMENTShoe shelf, dark grey,50x35 cm",46.0,35.0,3.0,1.07,https://www.ikea.com/nl/en/p/00257255/
00257302,"KOMPLEMENTMesh basket, white,50x35 cm",44.0,34.0,17.0,0.84,https://www.ikea.com/nl/en/p/00257302/
00257298,"KOMPLEMENTMesh basket, white,100x58 cm",94.0,54.0,16.0,2.26,https://www.ikea.com/nl/en/p/00257298/
00257463,"KOMPLEMENTPull-out shoe shelf, white,100x58 cm",93.0,37.0,6.0,8.05,https://www.ikea.com/nl/en/p/00257463/
00258882,"KLIPSKBed tray, white",56.0,36.0,5.0,1.51,https://www.ikea.com/nl/en/p/00258882/
00257646,"KOMPLEMENTGlass shelf, white,50x58 cm",58.0,52.0,2.0,2.69,https://www.ikea.com/nl/en/p/00257646/
